#,id,age,district,activity_frequency,barrier_details,created_at,activity_types,development_ideas,missing_infrastructure,sports_accessibility_rating,usage_barriers,agree_personal_data,agree_privacy_policy,marker,development_priorities,preferred_events
16,15,Старше 60 лет,Жетысуский,,ываыва,2025-04-16 09:58:16.685194 +00:00,,впаывпав,"""Скейт-парк / роллердром, Велодорожки / беговые дорожки, Уличные тренажёры""","""{\""Оцените доступность спортивных объектов в вашем районе\"":2,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":2,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3}""",,,,,,
17,18,26-35,Ауэзовский,Несколько раз в месяц,"Мало спортивных элементов, вечером или ночью темно.",2025-04-25 04:39:39.000867 +00:00,,Больше бесплатных спортивных площадок для населения. Велодорожки очень нужны.,"""Велодорожки / беговые дорожки, Зимние объекты (катки, лыжня), Спортивные площадки""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":3,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":2}""",,,,,,
18,16,26-35,Бостандыкский,Несколько раз в неделю,-,2025-04-24 07:19:24.405309 +00:00,,"","""Велодорожки / беговые дорожки, Бассейн / водные объекты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":4,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":4,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3}""",,,,,,
19,19,До 18 лет,Алатауский,Несколько раз в неделю,test,2025-04-25 10:22:29.593264 +00:00,"""Баскетбол, Волейбол, Зимние виды спорта (лыжи, коньки)""",test,"""Спортивные площадки, Уличные тренажёры, Велодорожки / беговые дорожки""","""{\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":2,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":2,\""Оцените доступность спортивных объектов в вашем районе\"":2}""","""Транспортная недоступность, Отсутствие безопасности, Мало информации""",,,,,
20,20,36-45,Алмалинский,Ежедневно,"Беговых дорожек практически нет в городе. Граждане не знают, для чего и кого они предназначены и все без разбора по ним ходят",2025-04-25 12:22:25.601362 +00:00,"""Бег, Йога / фитнес / групповые занятия, Плавание / аквааэробика""","Сделать больше беговых дорожек. Повышать культуру спорта. Этикет плавания а бассейне, использования беговых дорожек.","""Бассейн / водные объекты, Зимние объекты (катки, лыжня), Велодорожки / беговые дорожки""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":3,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3}""","""Мало информации, Плохое состояние объектов, Отсутствие безопасности""",,,,,
21,21,18-25,Алмалинский,Несколько раз в месяц,Phone test,2025-05-14 12:39:59.756602 +00:00,"""Футбол / мини-футбол, Баскетбол, Волейбол""",Phone test,"""Спортивные площадки""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":5,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":5}""","""Отсутствие безопасности""",true,true,POINT (76.8983975649487 43.23831278803804),,
22,22,18 жасқа дейін,Алатау ауданы,Аптасына бірнеше рет,Тест,2025-05-14 13:14:24.443227 +00:00,"""Футбол / мини-футбол, Жүгіру, Волейбол""",Тест,"""Спорттық алаңдар, Скейт-парк / ролик алаңы, Басқа…""","""{\""Өз ауданыңыздағы спорттық нысандардың қолжетімділігін бағалаңыз\"":2,\""Спорттық нысандардың тұрғын үйіңізге қатысты орналасуы қаншалықты ыңғайлы?\"":3,\""Кешкі уақытта спорттық және демалыс аймақтарындағы жарықтандыру мен қауіпсіздік деңгейіне қаншалықты қанағаттанасыз?\"":1}""","""Тегін алаңдардың жеткіліксіздігі, Басқа…, Қауіпсіздіктің болмауы""",true,true,POINT (76.8980106 43.2382667),,
23,23,18-25,Бостандыкский,Несколько раз в неделю,Нет,2025-05-14 13:20:41.270188 +00:00,"""Йога / фитнес / групповые занятия""",Нет,"""Спортивные площадки, Велодорожки / беговые дорожки""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":3,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":4}""","""Недостаток бесплатных площадок, Плохое состояние объектов, Мало информации""",true,true,POINT (76.89837046596045 43.23857438879032),,
24,24,18 жасқа дейін,Жетісу ауданы,Күн сайын,тест,2025-05-15 10:54:08.576879 +00:00,"""Футбол / мини-футбол""",тест,"""Көшедегі жаттығу құралдары""","""{\""Өз ауданыңыздағы спорттық нысандардың қолжетімділігін бағалаңыз\"":2,\""Спорттық нысандардың тұрғын үйіңізге қатысты орналасуы қаншалықты ыңғайлы?\"":2,\""Кешкі уақытта спорттық және демалыс аймақтарындағы жарықтандыру мен қауіпсіздік деңгейіне қаншалықты қанағаттанасыз?\"":2}""","""Ыңғайсыз кесте""",true,true,,,
25,25,18-25,Бостандық ауданы,Күн сайын,test,2025-05-30 12:15:02.606767 +00:00,"""Футбол / мини-футбол, Баскетбол, Волейбол""",test,"""Веложолдар / жүгіру жолақтары, Көшедегі жаттығу құралдары, Спорттық алаңдар""","""{\""Өз ауданыңыздағы спорттық нысандардың қолжетімділігін бағалаңыз\"":2,\""Спорттық нысандардың тұрғын үйіңізге қатысты орналасуы қаншалықты ыңғайлы?\"":3,\""Сіздің ауданыңызда жаяу жүруге ыңғайлы жаяу жүргіншілер алаңы мен тротуарлар жеткілікті ме?\"":4,\""Кешкі уақытта спорттық және демалыс аймақтарындағы жарықтандыру мен қауіпсіздік деңгейіне қаншалықты қанағаттанасыз?\"":4,\""Қоғамдық орындардағы орындықтар, шатырлар мен су бұрқақтар қаншалықты ыңғайлы және қолжетімді?\"":4,\""Жақын жерде іс-шаралар өткізу орындары/амфитеатрлар бар ма және олар қаншалықты танымал?\"":4}""","""Нысандардың нашар жағдайы, Қауіпсіздіктің болмауы""",true,true,,"""{\""Іс-шараларға арналған амфитеатр\"":1,\""Балалар алаңдары\"":3,\""Орындықтар мен көлеңке\"":4,\""Жаяу жүргіншілер көшелері\"":4,\""Веложолдар & жүгiру жолдары\"":5,\""Көгалдандыру, көлеңке\"":5,\""Iшу су бұрқақтары, дәретханалар\"":5}""",test
26,26,18-25,Наурызбай ауданы,Сирек (жылына бірнеше рет),Жок,2025-06-16 13:28:46.568067 +00:00,"""Басқа…""",Концерт,"""Басқа…, Амфитеатр/оқиғалар сахнасы, Жаяу жүру аймақтары""","""{\""Өз ауданыңыздағы спорттық нысандардың қолжетімділігін бағалаңыз\"":2,\""Спорттық нысандардың тұрғын үйіңізге қатысты орналасуы қаншалықты ыңғайлы?\"":2,\""Кешкі уақытта спорттық және демалыс аймақтарындағы жарықтандыру мен қауіпсіздік деңгейіне қаншалықты қанағаттанасыз?\"":2,\""Сіздің ауданыңызда жаяу жүруге ыңғайлы жаяу жүргіншілер алаңы мен тротуарлар жеткілікті ме?\"":2,\""Қоғамдық орындардағы орындықтар, шатырлар мен су бұрқақтар қаншалықты ыңғайлы және қолжетімді?\"":2,\""Жақын жерде іс-шаралар өткізу орындары/амфитеатрлар бар ма және олар қаншалықты танымал?\"":2,\""Сүйікті демалыс орындарының тазалығы мен ыңғайлылығын (қоқыс жәшіктері, абаттандыру, қоғамдық дәретханалар) бағалаңыз.\"":2}""","""Басқа…""",true,true,,"""{\""Жаяу жүргіншілер көшелері\"":2,\""Орындықтар мен көлеңке\"":2,\""Іс-шараларға арналған амфитеатр\"":2,\""Балалар алаңдары\"":2,\""Веложолдар & жүгiру жолдары\"":2,\""Көгалдандыру, көлеңке\"":2,\""Iшу су бұрқақтары, дәретханалар\"":2}""",Жок
27,27,36-45,Алатауский,Несколько раз в месяц,"Коттеджный городок Алгабас, улица Камажай нет никакой спортивной инфраструктуры!",2025-06-16 13:34:35.750299 +00:00,"""""",Затрудняюсь с ответом,"""Спортивные площадки, Уличные тренажёры, Зоны для семейного отдыха""","""{\""Оцените доступность спортивных объектов в вашем районе\"":2,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":2,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":2,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":2,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":2,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":2,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":2}""","""Плохое состояние объектов, Мало информации, Отсутствие туалетов / питьевой воды""",true,true,,"""{\""Детские площадки \"":4,\""Озеленение и тень (деревья)\"":5,\""Пешеходные улицы \"":5}""","Коттеджный городок Алгабас, улицы Камажай нет детских площадок, нет тренажеров!"
28,28,18-25,Медеуский,Несколько раз в неделю,Нет,2025-06-16 13:36:05.688423 +00:00,"""Бег""",Мини выставки,"""Уличные тренажёры, Велодорожки / беговые дорожки, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":5,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":5,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":4,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":5,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":5}""","""Отсутствие туалетов / питьевой воды""",true,true,,"""{\""Велодорожки и беговые дорожки\"":5,\""Озеленение и тень (деревья)\"":5}""",Побольше питевых фонтанчиков
29,29,36-45,Ауэзовский,Несколько раз в неделю,Нет,2025-06-16 13:37:58.614228 +00:00,"""Бег, Футбол / мини-футбол, Велоспорт / скейт / роллеры / самокат""",Арт мероприятия,"""Велодорожки / беговые дорожки, Бассейн / водные объекты, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":4,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":5,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":4,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":3,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":4,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":2,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":5}""","""Неудобное расписание, Отсутствие туалетов / питьевой воды, Слишком шумно / много машин""",true,true,,"""{\""Велодорожки и беговые дорожки\"":5,\""Пешеходные улицы \"":3,\""Скамейки и навесы \"":2,\""Амфитеатр / сцена для мероприятий \"":5,\""Детские площадки \"":3,\""Озеленение и тень (деревья)\"":4,\""Питьевые фонтанчики, туалеты\"":5}""",Доступные фонтанчики. И туалеты
30,30,46-60,Медеуский,Ежедневно,Нет,2025-06-16 13:38:02.380070 +00:00,"""Бег, Плавание / аквааэробика, """,Шахматы,"""Бассейн / водные объекты, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":5,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":5,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":5,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":3,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":4,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":4}""","""Отсутствие туалетов / питьевой воды""",true,true,,"""{\""Пешеходные улицы \"":5,\""Скамейки и навесы \"":5,\""Амфитеатр / сцена для мероприятий \"":5,\""Детские площадки \"":4,\""Велодорожки и беговые дорожки\"":4,\""Питьевые фонтанчики, туалеты\"":2}""",Фонтанчиков для питья нет
31,31,18-25,Медеуский,Несколько раз в неделю,-,2025-06-16 13:44:52.972933 +00:00,"""Бег, Велоспорт / скейт / роллеры / самокат, Плавание / аквааэробика""",-,"""Велодорожки / беговые дорожки, Бассейн / водные объекты, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":4,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":4,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":4,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":4,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":4}""","""Отсутствие туалетов / питьевой воды, Слишком шумно / много машин""",true,true,,"""{\""Пешеходные улицы \"":4,\""Скамейки и навесы \"":4,\""Амфитеатр / сцена для мероприятий \"":1,\""Детские площадки \"":4,\""Велодорожки и беговые дорожки\"":1,\""Озеленение и тень (деревья)\"":4,\""Питьевые фонтанчики, туалеты\"":1}""",-
32,32,26-35,Алмалинский,Практически не занимаюсь,-,2025-06-16 13:46:43.696110 +00:00,"""-""",Концерты,"""Бассейн / водные объекты, Зоны для пеших прогулок, Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":2,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":4,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":2,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":2,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":1,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3}""","""Отсутствие безопасности, Транспортная недоступность, Отсутствие туалетов / питьевой воды""",true,true,,"""{\""Пешеходные улицы \"":3,\""Скамейки и навесы \"":5,\""Амфитеатр / сцена для мероприятий \"":3,\""Детские площадки \"":2,\""Велодорожки и беговые дорожки\"":2,\""Озеленение и тень (деревья)\"":5,\""Питьевые фонтанчики, туалеты\"":5}""",-
33,33,46-60,Бостандыкский,Несколько раз в неделю,Он влияние пешеходных дорог,2025-06-16 13:48:42.907129 +00:00,"""Йога / фитнес / групповые занятия""",Концерты,"""Зоны для пеших прогулок""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":3,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":4,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":2,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":5,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":3,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3}""","""Недостаток бесплатных площадок""",true,true,POINT (76.95462346573737 43.23420868645537),"""{\""Пешеходные улицы \"":2,\""Скамейки и навесы \"":3,\""Амфитеатр / сцена для мероприятий \"":2,\""Детские площадки \"":3,\""Велодорожки и беговые дорожки\"":3,\""Озеленение и тень (деревья)\"":4,\""Питьевые фонтанчики, туалеты\"":3}""",Пешеходные дорожки больше маршрутов
34,34,46-60,Бостандыкский,Несколько раз в неделю,Строительство моста в районе Есентай мола,2025-06-16 13:59:12.974311 +00:00,"""Прогулки""",Сооевнования,"""Спортивные площадки, Зимние объекты (катки, лыжня), Питьевые фонтанчики / общественные туалеты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":5,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":4,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":4,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":3,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":3,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3}""","""Недостаток бесплатных площадок, Нехватка тени / скамеек, Отсутствие пешеходного доступа / тротуаров""",true,true,POINT (76.9334933 43.2255883),"""{\""Пешеходные улицы \"":5,\""Питьевые фонтанчики, туалеты\"":5,\""Велодорожки и беговые дорожки\"":5}""",Нужны дорожки для самокатов
35,35,36-45,Ауэзовский,Ежедневно,"Плохая дорога, с коляской с ребенком не продуманы проезды, сложно проезжать",2025-06-16 14:05:19.020045 +00:00,"""""",Детские,"""Питьевые фонтанчики / общественные туалеты, Зоны для семейного отдыха""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":5,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":1,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":1,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":3,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3}""","""Нехватка тени / скамеек, Отсутствие туалетов / питьевой воды, Недостаток бесплатных площадок""",true,true,,"""{\""Скамейки и навесы \"":5,\""Питьевые фонтанчики, туалеты\"":5}""","Продуманно поставить, не для галочки"
36,36,26-35,Алмалы ауданы,Күн сайын,Жок,2025-06-16 14:11:24.124005 +00:00,"""Волейбол""",Жауап жок,"""Веложолдар / жүгіру жолақтары, Отбасылық демалыс аймақтары, Су бұрқақтар/қоғамдық дәретханалар""","""{\""Өз ауданыңыздағы спорттық нысандардың қолжетімділігін бағалаңыз\"":3,\""Спорттық нысандардың тұрғын үйіңізге қатысты орналасуы қаншалықты ыңғайлы?\"":3,\""Кешкі уақытта спорттық және демалыс аймақтарындағы жарықтандыру мен қауіпсіздік деңгейіне қаншалықты қанағаттанасыз?\"":3,\""Сіздің ауданыңызда жаяу жүруге ыңғайлы жаяу жүргіншілер алаңы мен тротуарлар жеткілікті ме?\"":4,\""Қоғамдық орындардағы орындықтар, шатырлар мен су бұрқақтар қаншалықты ыңғайлы және қолжетімді?\"":1,\""Жақын жерде іс-шаралар өткізу орындары/амфитеатрлар бар ма және олар қаншалықты танымал?\"":2,\""Сүйікті демалыс орындарының тазалығы мен ыңғайлылығын (қоқыс жәшіктері, абаттандыру, қоғамдық дәретханалар) бағалаңыз.\"":4}""","""Қауіпсіздіктің болмауы, Көліктік қолжетімсіздік""",true,true,,"""{\""Жаяу жүргіншілер көшелері\"":4,\""Орындықтар мен көлеңке\"":3,\""Іс-шараларға арналған амфитеатр\"":2,\""Балалар алаңдары\"":4,\""Веложолдар & жүгiру жолдары\"":1,\""Көгалдандыру, көлеңке\"":3,\""Iшу су бұрқақтары, дәретханалар\"":3}""",Жауап жок
37,37,46-60,Медеуский,Ежедневно,Нет барьеров,2025-06-16 14:20:03.926107 +00:00,"""Бег, """,Все хорошо,"""Бассейн / водные объекты""","""{\""Оцените доступность спортивных объектов в вашем районе\"":5,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":5,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":4,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":5,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":3,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":3,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":5}""","""Нехватка тени / скамеек""",true,true,POINT (76.962168 43.2165142),"""{\""Пешеходные улицы \"":5,\""Скамейки и навесы \"":5,\""Амфитеатр / сцена для мероприятий \"":5,\""Детские площадки \"":5,\""Велодорожки и беговые дорожки\"":5,\""Озеленение и тень (деревья)\"":5,\""Питьевые фонтанчики, туалеты\"":3}""",Чистка снега
38,38,36-45,Бостандыкский,Несколько раз в неделю,можно без лестниц делать проекты,2025-06-16 14:32:39.390829 +00:00,"""""",фестивали,"""Бассейн / водные объекты, Зимние объекты (катки, лыжня), Зоны для пеших прогулок""","""{\""Оцените доступность спортивных объектов в вашем районе\"":1,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":1,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":1,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":2,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":4,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":1,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3}""","""Транспортная недоступность""",true,true,,"""{\""Пешеходные улицы \"":1,\""Амфитеатр / сцена для мероприятий \"":1,\""Скамейки и навесы \"":2,\""Детские площадки \"":5,\""Велодорожки и беговые дорожки\"":1,\""Озеленение и тень (деревья)\"":4,\""Питьевые фонтанчики, туалеты\"":1}""","больше фонтанов, водных зеркал, речек"
39,39,36-45,Алмалинский,Несколько раз в месяц,Тест,2025-06-16 14:40:13.141345 +00:00,"""""",Тест,"""""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":3,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":3,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":3,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":3}""","""""",true,true,,"""{\""Пешеходные улицы \"":3,\""Скамейки и навесы \"":3,\""Амфитеатр / сцена для мероприятий \"":3,\""Детские площадки \"":3,\""Велодорожки и беговые дорожки\"":3,\""Озеленение и тень (деревья)\"":3,\""Питьевые фонтанчики, туалеты\"":3}""",Тест
40,40,26-35,Алмалинский,Ежедневно,Нет,2025-06-16 14:44:24.791440 +00:00,"""Бег""",Концерты,"""Велодорожки / беговые дорожки, Зоны для семейного отдыха, Зоны для пеших прогулок""","""{\""Оцените доступность спортивных объектов в вашем районе\"":3,\""Насколько удобно расположены спортивные объекты относительно вашего места жительства?\"":3,\""Насколько вы удовлетворены уровнем освещённости и безопасности спортивных и рекреационных зон в вечернее время?\"":3,\""Достаточно ли в вашем районе пешеходных зон и тротуаров, удобных для прогулок?\"":2,\""Насколько комфортны и доступны скамейки, навесы, питьевые фонтанчики в общественных местах?\"":2,\""Есть ли поблизости площадки / амфитеатры для мероприятий и насколько они востребованы?\"":2,\""Оцените чистоту и благоустройство (урны, озеленение, общественные туалеты) ваших любимых мест отдыха.\"":4}""","""Плохое состояние объектов, Нехватка тени / скамеек, Слишком шумно / много машин""",true,true,,"""{\""Пешеходные улицы \"":4,\""Скамейки и навесы \"":4,\""Велодорожки и беговые дорожки\"":4,\""Озеленение и тень (деревья)\"":4,\""Питьевые фонтанчики, туалеты\"":4,\""Амфитеатр / сцена для мероприятий \"":3,\""Детские площадки \"":3}""",Нет идей
